"Date","Provider_Type","Category","Complaints"
"02/28/2026","Non-Transportation","IT/Technology","1"
"02/28/2026","Other/Unidentified Provider",,"13"
"02/28/2026","Broker","Driver","3"
"02/28/2026","Primary","Vehicles","1"
"02/28/2026","Primary","Service - Ride Time","2"
"02/28/2026","Primary","Driver","1"
"02/28/2026","Broker","Service - Late Pickup","1"
"02/28/2026","Broker","Service - No Shows","1"
"02/27/2026","Non-Transportation","Travel Services (Same Day)","8"
"02/27/2026","Non-Transportation","Travel Planning (Res)","7"
"02/27/2026","Non-Transportation","Scheduling","1"
"02/27/2026","Non-Transportation","Policy","11"
"02/27/2026","Non-Transportation","IT/Technology","6"
"02/27/2026","Non-Transportation","Customer","36"
"02/27/2026","Supplemental","Vehicles","1"
"02/27/2026","Supplemental","Service - Ride Time","2"
"02/27/2026","Supplemental","Service - No Shows","3"
"02/27/2026","Supplemental","Driver","2"
"02/27/2026","Broker","Vehicles","3"
"02/27/2026","Broker","Service - Ride Time","4"
"02/27/2026","Broker","Service - Other","7"
"02/27/2026","Broker","Service - No Shows","57"
"02/27/2026","Broker","Service - Late Pickup","18"
"02/27/2026","Broker","Driver","29"
"02/27/2026","Primary","Service - Ride Time","4"
"02/27/2026","Primary","Service - No Shows","16"
"02/27/2026","Primary","Driver","7"
"02/27/2026","Primary","Service - Late Pickup","2"
"02/27/2026","Other/Unidentified Provider","Vehicles","1"
"02/27/2026","Other/Unidentified Provider","Service - Ride Time","3"
"02/27/2026","Other/Unidentified Provider","Service - Other","6"
"02/27/2026","Other/Unidentified Provider","Service - No Shows","18"
"02/27/2026","Other/Unidentified Provider","Service - Late Pickup","8"
"02/27/2026","Other/Unidentified Provider","Driver","10"
"02/27/2026","Other/Unidentified Provider",,"30"
"02/26/2026","Broker","Service - No Shows","51"
"02/26/2026","Other/Unidentified Provider","Service - Other","1"
"02/26/2026","Other/Unidentified Provider","Service - No Shows","10"
"02/26/2026","Other/Unidentified Provider","Service - Late Pickup","2"
"02/26/2026","Other/Unidentified Provider","Driver","9"
"02/26/2026","Other/Unidentified Provider",,"11"
"02/26/2026","Non-Transportation","Travel Services (Same Day)","11"
"02/26/2026","Non-Transportation","Travel Planning (Res)","8"
"02/26/2026","Non-Transportation","Scheduling","1"
"02/26/2026","Non-Transportation","Policy","20"
"02/26/2026","Non-Transportation","IT/Technology","5"
"02/26/2026","Non-Transportation","Customer Relations","1"
"02/26/2026","Non-Transportation","Customer","35"
"02/26/2026","Supplemental","Service - Ride Time","1"
"02/26/2026","Supplemental","Service - No Shows","4"
"02/26/2026","Supplemental","Service - Late Pickup","4"
"02/26/2026","Supplemental","Driver","5"
"02/26/2026","Broker","Vehicles","1"
"02/26/2026","Broker","Service - Ride Time","9"
"02/26/2026","Broker","Service - Other","5"
"02/26/2026","Broker","Service - Late Pickup","23"
"02/26/2026","Broker","Driver","30"
"02/26/2026","Primary","Service - Ride Time","11"
"02/26/2026","Primary","Service - No Shows","9"
"02/26/2026","Primary","Service - Late Pickup","1"
"02/26/2026","Primary","Driver","9"
"02/26/2026","Primary",,"1"
"02/25/2026","Primary","Service - No Shows","8"
"02/25/2026","Other/Unidentified Provider","Vehicles","1"
"02/25/2026","Other/Unidentified Provider","Service - Other","3"
"02/25/2026","Other/Unidentified Provider","Service - No Shows","3"
"02/25/2026","Other/Unidentified Provider","Service - Late Pickup","2"
"02/25/2026","Other/Unidentified Provider","Driver","8"
"02/25/2026","Other/Unidentified Provider",,"10"
"02/25/2026","Non-Transportation","Travel Services (Same Day)","2"
"02/25/2026","Non-Transportation","Travel Planning (Res)","4"
"02/25/2026","Non-Transportation","Policy","12"
"02/25/2026","Non-Transportation","IT/Technology","4"
"02/25/2026","Non-Transportation","Eligibility","2"
"02/25/2026","Non-Transportation","Customer","52"
"02/25/2026","Supplemental","Vehicles","1"
"02/25/2026","Supplemental","Service - Ride Time","1"
"02/25/2026","Supplemental","Service - Other","1"
"02/25/2026","Supplemental","Service - No Shows","4"
"02/25/2026","Supplemental","Service - Late Pickup","2"
"02/25/2026","Supplemental","Driver","1"
"02/25/2026","Broker","Vehicles","3"
"02/25/2026","Primary","Driver","5"
"02/25/2026","Broker","Service - Ride Time","4"
"02/25/2026","Broker","Service - Other","3"
"02/25/2026","Broker","Service - No Shows","54"
"02/25/2026","Broker","Service - Late Pickup","9"
"02/25/2026","Broker","Driver","15"
"02/25/2026","Primary","Service - Ride Time","2"
"02/24/2026","Supplemental","Service - No Shows","5"
"02/24/2026","Other/Unidentified Provider","Vehicles","1"
"02/24/2026","Other/Unidentified Provider","Service - Ride Time","1"
"02/24/2026","Other/Unidentified Provider","Service - No Shows","1"
"02/24/2026","Other/Unidentified Provider","Service - Late Pickup","2"
"02/24/2026","Other/Unidentified Provider","Driver","9"
"02/24/2026","Other/Unidentified Provider",,"1"
"02/24/2026","Non-Transportation","Travel Services (Same Day)","3"
"02/24/2026","Non-Transportation","Travel Planning (Res)","6"
"02/24/2026","Non-Transportation","Scheduling","1"
"02/24/2026","Non-Transportation","Policy","10"
"02/24/2026","Non-Transportation","IT/Technology","7"
"02/24/2026","Non-Transportation","Eligibility","3"
"02/24/2026","Non-Transportation","Customer","38"
"02/24/2026","Supplemental","Vehicles","1"
"02/24/2026","Supplemental","Driver","1"
"02/24/2026","Broker","Vehicles","2"
"02/24/2026","Broker","Service - Ride Time","2"
"02/24/2026","Broker","Service - Other","3"
"02/24/2026","Broker","Service - No Shows","25"
"02/24/2026","Broker","Service - Late Pickup","2"
"02/24/2026","Broker","Driver","27"
"02/24/2026","Primary","Service - No Shows","10"
"02/24/2026","Primary","Service - Late Pickup","1"
"02/24/2026","Primary","Driver","1"
"02/23/2026","Supplemental","Service - No Shows","3"
"02/23/2026","Other/Unidentified Provider","Service - No Shows","2"
"02/23/2026","Other/Unidentified Provider","Service - Late Pickup","1"
"02/23/2026","Other/Unidentified Provider","Driver","5"
"02/23/2026","Other/Unidentified Provider",,"1"
"02/23/2026","Non-Transportation","Travel Services (Same Day)","3"
"02/23/2026","Non-Transportation","Travel Planning (Res)","1"
"02/23/2026","Non-Transportation","Policy","11"
"02/23/2026","Non-Transportation","IT/Technology","4"
"02/23/2026","Non-Transportation","Customer","33"
"02/23/2026","Supplemental","Driver","3"
"02/23/2026","Broker","Vehicles","2"
"02/23/2026","Broker","Service - Other","3"
"02/23/2026","Broker","Service - No Shows","14"
"02/23/2026","Broker","Service - Late Pickup","1"
"02/23/2026","Broker","Driver","18"
"02/23/2026","Primary","Vehicles","1"
"02/23/2026","Primary","Service - Ride Time","1"
"02/23/2026","Primary","Service - Other","1"
"02/23/2026","Primary","Service - No Shows","8"
"02/23/2026","Primary","Driver","5"
"02/22/2026","Non-Transportation","Customer","1"
"02/22/2026","Supplemental","Driver","1"
"02/22/2026","Broker","Vehicles","1"
"02/22/2026","Broker","Service - No Shows","1"
"02/22/2026","Broker","Driver","4"
"02/22/2026","Primary","Service - No Shows","1"
"02/22/2026","Primary","Driver","2"
"02/22/2026","Other/Unidentified Provider",,"2"
"02/22/2026","Non-Transportation","Policy","1"
"02/21/2026","Broker","Driver","6"
"02/21/2026","Primary","Service - Ride Time","2"
"02/21/2026","Primary","Service - Late Pickup","1"
"02/21/2026","Primary","Service - No Shows","1"
"02/21/2026","Primary","Driver","2"
"02/21/2026","Other/Unidentified Provider",,"1"
"02/21/2026","Non-Transportation","Policy","4"
"02/21/2026","Non-Transportation","IT/Technology","1"
"02/21/2026","Supplemental","Service - Ride Time","1"
"02/21/2026","Broker","Service - Ride Time","3"
"02/21/2026","Broker","Service - No Shows","1"
"02/21/2026","Broker","Service - Late Pickup","1"
"02/20/2026","Broker","Service - Ride Time","4"
"02/20/2026","Other/Unidentified Provider","Service - Ride Time","3"
"02/20/2026","Other/Unidentified Provider","Service - Other","2"
"02/20/2026","Other/Unidentified Provider","Service - No Shows","3"
"02/20/2026","Other/Unidentified Provider","Driver","9"
"02/20/2026","Other/Unidentified Provider",,"2"
"02/20/2026","Non-Transportation","Travel Services (Same Day)","12"
"02/20/2026","Non-Transportation","Travel Planning (Res)","7"
"02/20/2026","Non-Transportation","Scheduling","3"
"02/20/2026","Non-Transportation","Policy","9"
"02/20/2026","Non-Transportation","IT/Technology","5"
"02/20/2026","Non-Transportation","Customer","41"
"02/20/2026","Supplemental","Service - Ride Time","1"
"02/20/2026","Supplemental","Service - No Shows","7"
"02/20/2026","Supplemental","Driver","4"
"02/20/2026","Broker","Vehicles","1"
"02/20/2026","Broker","Service - Other","3"
"02/20/2026","Broker","Service - No Shows","43"
"02/20/2026","Broker","Service - Late Pickup","14"
"02/20/2026","Broker","Driver","41"
"02/20/2026","Primary","Service - Ride Time","6"
"02/20/2026","Primary","Service - No Shows","20"
"02/20/2026","Primary","Service - Late Pickup","2"
"02/20/2026","Primary","Driver","10"
"02/19/2026","Primary","Service - No Shows","11"
"02/19/2026","Other/Unidentified Provider","Vehicles","1"
"02/19/2026","Other/Unidentified Provider","Service - Other","2"
"02/19/2026","Other/Unidentified Provider","Service - No Shows","3"
"02/19/2026","Other/Unidentified Provider","Service - Late Pickup","2"
"02/19/2026","Other/Unidentified Provider","Driver","12"
"02/19/2026","Other/Unidentified Provider",,"4"
"02/19/2026","Non-Transportation","Travel Services (Same Day)","3"
"02/19/2026","Non-Transportation","Travel Planning (Res)","5"
"02/19/2026","Non-Transportation","Scheduling","1"
"02/19/2026","Non-Transportation","Policy","14"
"02/19/2026","Non-Transportation","IT/Technology","17"
"02/19/2026","Non-Transportation","Eligibility","4"
"02/19/2026","Non-Transportation","Customer","28"
"02/19/2026","Supplemental","Service - Ride Time","2"
"02/19/2026","Supplemental","Service - No Shows","7"
"02/19/2026","Supplemental","Service - Late Pickup","1"
"02/19/2026","Supplemental","Driver","4"
"02/19/2026","Primary","Driver","11"
"02/19/2026","Broker","Service - Ride Time","5"
"02/19/2026","Primary","Service - Late Pickup","10"
"02/19/2026","Broker","Service - Other","11"
"02/19/2026","Broker","Service - No Shows","45"
"02/19/2026","Broker","Service - Late Pickup","8"
"02/19/2026","Broker","Driver","56"
"02/19/2026","Primary","Vehicles","1"
"02/19/2026","Primary","Service - Ride Time","1"
"02/19/2026","Primary","Service - Other","1"
"02/18/2026","Non-Transportation","Policy","13"
"02/18/2026","Other/Unidentified Provider","Service - No Shows","1"
"02/18/2026","Other/Unidentified Provider","Driver","1"
"02/18/2026","Other/Unidentified Provider",,"1"
"02/18/2026","Non-Transportation","Travel Services (Same Day)","5"
"02/18/2026","Non-Transportation","Travel Planning (Res)","4"
"02/18/2026","Non-Transportation","Scheduling","1"
"02/18/2026","Non-Transportation","IT/Technology","9"
"02/18/2026","Non-Transportation","Eligibility","1"
"02/18/2026","Non-Transportation","Customer","47"
"02/18/2026","Supplemental","Service - No Shows","5"
"02/18/2026","Supplemental","Driver","1"
"02/18/2026","Broker","Vehicles","4"
"02/18/2026","Broker","Service - Ride Time","6"
"02/18/2026","Broker","Service - Other","3"
"02/18/2026","Broker","Service - No Shows","39"
"02/18/2026","Broker","Service - Late Pickup","11"
"02/18/2026","Broker","Driver","53"
"02/18/2026","Primary","Service - Ride Time","3"
"02/18/2026","Primary","Service - Other","1"
"02/18/2026","Primary","Service - No Shows","19"
"02/18/2026","Primary","Service - Late Pickup","3"
"02/18/2026","Primary","Driver","10"
"02/17/2026","Primary","Driver","19"
"02/17/2026","Other/Unidentified Provider","Service - Ride Time","1"
"02/17/2026","Other/Unidentified Provider","Service - No Shows","2"
"02/17/2026","Other/Unidentified Provider","Driver","5"
"02/17/2026","Other/Unidentified Provider",,"1"
"02/17/2026","Non-Transportation","Travel Services (Same Day)","6"
"02/17/2026","Non-Transportation","Travel Planning (Res)","7"
"02/17/2026","Non-Transportation","Scheduling","1"
"02/17/2026","Non-Transportation","Policy","23"
"02/17/2026","Non-Transportation","IT/Technology","11"
"02/17/2026","Non-Transportation","Eligibility","6"
"02/17/2026","Non-Transportation","Customer","50"
"02/17/2026","Supplemental","Vehicles","1"
"02/17/2026","Supplemental","Service - Ride Time","1"
"02/17/2026","Supplemental","Service - No Shows","7"
"02/17/2026","Supplemental","Service - Late Pickup","1"
"02/17/2026","Supplemental","Driver","9"
"02/17/2026","Broker","Vehicles","4"
"02/17/2026","Broker","Service - Ride Time","7"
"02/17/2026","Broker","Service - Other","1"
"02/17/2026","Broker","Service - No Shows","66"
"02/17/2026","Broker","Service - Late Pickup","10"
"02/17/2026","Broker","Driver","78"
"02/17/2026","Primary","Vehicles","1"
"02/17/2026","Primary","Service - Ride Time","4"
"02/17/2026","Primary","Service - No Shows","24"
"02/17/2026","Primary","Service - Late Pickup","5"
"02/16/2026","Broker","Driver","2"
"02/16/2026","Non-Transportation","Policy","3"
"02/16/2026","Non-Transportation","IT/Technology","1"
"02/16/2026","Supplemental","Driver","1"
"02/16/2026","Broker","Service - Ride Time","1"
"02/16/2026","Broker","Service - Other","1"
"02/16/2026","Broker","Service - No Shows","1"
"02/16/2026","Primary","Service - No Shows","1"
"02/15/2026","Non-Transportation","IT/Technology","3"
"02/15/2026","Other/Unidentified Provider","Driver","1"
"02/15/2026","Other/Unidentified Provider",,"2"
"02/15/2026","Non-Transportation","Policy","2"
"02/15/2026","Non-Transportation","Customer","1"
"02/15/2026","Broker","Service - Ride Time","1"
"02/15/2026","Broker","Service - No Shows","1"
"02/15/2026","Broker","Service - Late Pickup","2"
"02/15/2026","Broker","Driver","3"
"02/15/2026","Primary","Vehicles","1"
"02/15/2026","Primary","Driver","1"
"02/14/2026","Other/Unidentified Provider",,"3"
"02/14/2026","Non-Transportation","IT/Technology","1"
"02/14/2026","Non-Transportation","Customer","1"
"02/14/2026","Broker","Vehicles","1"
"02/14/2026","Broker","Service - No Shows","1"
"02/14/2026","Broker","Service - Late Pickup","1"
"02/14/2026","Broker","Driver","2"
"02/14/2026","Primary","Driver","1"
"02/13/2026","Non-Transportation","IT/Technology","5"
"02/13/2026","Non-Transportation","Eligibility","5"
"02/13/2026","Non-Transportation","Customer","38"
"02/13/2026","Supplemental","Service - Ride Time","3"
"02/13/2026","Supplemental","Service - Other","1"
"02/13/2026","Supplemental","Service - No Shows","4"
"02/13/2026","Supplemental","Driver","3"
"02/13/2026","Broker","Vehicles","4"
"02/13/2026","Broker","Service - Ride Time","10"
"02/13/2026","Broker","Service - Other","6"
"02/13/2026","Primary","Driver","11"
"02/13/2026","Broker","Service - No Shows","49"
"02/13/2026","Broker","Service - Late Pickup","8"
"02/13/2026","Broker","Driver","36"
"02/13/2026","Primary","Vehicles","1"
"02/13/2026","Primary","Service - Ride Time","6"
"02/13/2026","Primary","Service - Late Pickup","18"
"02/13/2026","Primary","Service - No Shows","26"
"02/13/2026","Other/Unidentified Provider","Service - Other","1"
"02/13/2026","Other/Unidentified Provider","Service - No Shows","3"
"02/13/2026","Other/Unidentified Provider","Service - Late Pickup","1"
"02/13/2026","Other/Unidentified Provider","Driver","4"
"02/13/2026","Non-Transportation","Travel Services (Same Day)","3"
"02/13/2026","Non-Transportation","Scheduling","1"
"02/13/2026","Non-Transportation","Policy","13"
"02/12/2026","Primary","Vehicles","1"
"02/12/2026","Other/Unidentified Provider","Service - Ride Time","1"
"02/12/2026","Other/Unidentified Provider","Service - No Shows","1"
"02/12/2026","Other/Unidentified Provider","Service - Late Pickup","1"
"02/12/2026","Other/Unidentified Provider","Driver","6"
"02/12/2026","Non-Transportation","Travel Services (Same Day)","4"
"02/12/2026","Non-Transportation","Travel Planning (Res)","6"
"02/12/2026","Non-Transportation","Policy","21"
"02/12/2026","Non-Transportation","IT/Technology","14"
"02/12/2026","Non-Transportation","Eligibility","4"
"02/12/2026","Non-Transportation","Customer","22"
"02/12/2026","Supplemental","Vehicles","1"
"02/12/2026","Supplemental","Service - No Shows","4"
"02/12/2026","Supplemental","Service - Late Pickup","4"
"02/12/2026","Supplemental","Driver","6"
"02/12/2026","Broker","Vehicles","2"
"02/12/2026","Broker","Service - Ride Time","7"
"02/12/2026","Broker","Service - Other","2"
"02/12/2026","Broker","Service - No Shows","53"
"02/12/2026","Broker","Service - Late Pickup","18"
"02/12/2026","Broker","Driver","55"
"02/12/2026","Primary","Service - Ride Time","6"
"02/12/2026","Primary","Service - No Shows","18"
"02/12/2026","Primary","Service - Late Pickup","12"
"02/12/2026","Primary","Driver","17"
"02/11/2026","Primary","Driver","9"
"02/11/2026","Other/Unidentified Provider","Service - No Shows","4"
"02/11/2026","Other/Unidentified Provider","Service - Late Pickup","1"
"02/11/2026","Other/Unidentified Provider","Driver","1"
"02/11/2026","Non-Transportation","Travel Services (Same Day)","4"
"02/11/2026","Non-Transportation","Travel Planning (Res)","6"
"02/11/2026","Non-Transportation","Scheduling","5"
"02/11/2026","Non-Transportation","Policy","12"
"02/11/2026","Non-Transportation","IT/Technology","23"
"02/11/2026","Non-Transportation","Eligibility","3"
"02/11/2026","Non-Transportation","Customer Relations","1"
"02/11/2026","Non-Transportation","Customer","50"
"02/11/2026","Supplemental","Vehicles","1"
"02/11/2026","Supplemental","Service - Ride Time","2"
"02/11/2026","Supplemental","Service - No Shows","9"
"02/11/2026","Supplemental","Service - Late Pickup","2"
"02/11/2026","Supplemental","Driver","5"
"02/11/2026","Broker","Vehicles","2"
"02/11/2026","Broker","Service - Ride Time","15"
"02/11/2026","Broker","Service - Other","3"
"02/11/2026","Broker","Service - No Shows","57"
"02/11/2026","Broker","Service - Late Pickup","20"
"02/11/2026","Broker","Driver","29"
"02/11/2026","Primary","Service - Ride Time","7"
"02/11/2026","Primary","Service - No Shows","27"
"02/11/2026","Primary","Service - Late Pickup","8"
"02/10/2026","Non-Transportation","Eligibility","3"
"02/10/2026","Other/Unidentified Provider","Service - Ride Time","1"
"02/10/2026","Other/Unidentified Provider","Service - No Shows","1"
"02/10/2026","Other/Unidentified Provider","Driver","1"
"02/10/2026","Non-Transportation","Travel Services (Same Day)","8"
"02/10/2026","Non-Transportation","Travel Planning (Res)","7"
"02/10/2026","Non-Transportation","Scheduling","2"
"02/10/2026","Non-Transportation","Policy","27"
"02/10/2026","Non-Transportation","Other","1"
"02/10/2026","Non-Transportation","IT/Technology","18"
"02/10/2026","Non-Transportation","Customer Relations","1"
"02/10/2026","Non-Transportation","Customer","44"
"02/10/2026","Supplemental","Vehicles","1"
"02/10/2026","Supplemental","Service - Ride Time","2"
"02/10/2026","Supplemental","Service - No Shows","6"
"02/10/2026","Supplemental","Service - Late Pickup","2"
"02/10/2026","Supplemental","Driver","5"
"02/10/2026","Broker","Vehicles","2"
"02/10/2026","Broker","Service - Ride Time","13"
"02/10/2026","Broker","Service - Other","5"
"02/10/2026","Broker","Service - No Shows","59"
"02/10/2026","Broker","Service - Late Pickup","22"
"02/10/2026","Broker","Driver","56"
"02/10/2026","Primary","Vehicles","2"
"02/10/2026","Primary","Service - Ride Time","8"
"02/10/2026","Primary","Service - No Shows","45"
"02/10/2026","Primary","Service - Late Pickup","11"
"02/10/2026","Primary","Driver","14"
"02/09/2026","Non-Transportation","IT/Technology","15"
"02/09/2026","Other/Unidentified Provider","Service - Ride Time","1"
"02/09/2026","Other/Unidentified Provider","Service - No Shows","4"
"02/09/2026","Other/Unidentified Provider","Service - Late Pickup","4"
"02/09/2026","Other/Unidentified Provider","Driver","4"
"02/09/2026","Other/Unidentified Provider",,"1"
"02/09/2026","Non-Transportation","Travel Services (Same Day)","19"
"02/09/2026","Non-Transportation","Travel Planning (Res)","7"
"02/09/2026","Non-Transportation","Scheduling","1"
"02/09/2026","Non-Transportation","Policy","19"
"02/09/2026","Supplemental","Service - Ride Time","1"
"02/09/2026","Supplemental","Service - Other","1"
"02/09/2026","Supplemental","Service - No Shows","11"
"02/09/2026","Supplemental","Service - Late Pickup","3"
"02/09/2026","Supplemental","Driver","6"
"02/09/2026","Broker","Vehicles","2"
"02/09/2026","Broker","Service - Ride Time","8"
"02/09/2026","Broker","Service - No Shows","81"
"02/09/2026","Broker","Service - Late Pickup","10"
"02/09/2026","Broker","Driver","37"
"02/09/2026","Primary","Service - Ride Time","8"
"02/09/2026","Primary","Service - Other","1"
"02/09/2026","Primary","Service - No Shows","45"
"02/09/2026","Primary","Service - Late Pickup","9"
"02/09/2026","Primary","Driver","13"
"02/09/2026","Non-Transportation","Eligibility","4"
"02/09/2026","Non-Transportation","Customer","45"
"02/08/2026","Non-Transportation","Customer","2"
"02/08/2026","Broker","Service - Ride Time","1"
"02/08/2026","Broker","Service - No Shows","3"
"02/08/2026","Broker","Driver","3"
"02/08/2026","Primary","Service - No Shows","1"
"02/08/2026","Primary","Driver","1"
"02/08/2026","Non-Transportation","Travel Services (Same Day)","1"
"02/08/2026","Non-Transportation","Policy","1"
"02/07/2026","Broker","Service - Late Pickup","2"
"02/07/2026","Non-Transportation","Travel Services (Same Day)","3"
"02/07/2026","Broker","Driver","3"
"02/07/2026","Primary","Service - No Shows","3"
"02/07/2026","Non-Transportation","Policy","4"
"02/07/2026","Broker","Service - Ride Time","1"
"02/07/2026","Broker","Service - No Shows","3"
"02/06/2026","Non-Transportation","Customer","29"
"02/06/2026","Other/Unidentified Provider","Service - Late Pickup","1"
"02/06/2026","Other/Unidentified Provider","Driver","2"
"02/06/2026","Other/Unidentified Provider",,"1"
"02/06/2026","Non-Transportation","Travel Services (Same Day)","4"
"02/06/2026","Non-Transportation","Travel Planning (Res)","3"
"02/06/2026","Non-Transportation","Scheduling","2"
"02/06/2026","Non-Transportation","Policy","14"
"02/06/2026","Non-Transportation","Other","1"
"02/06/2026","Non-Transportation","IT/Technology","10"
"02/06/2026","Supplemental","Service - Ride Time","3"
"02/06/2026","Supplemental","Service - No Shows","5"
"02/06/2026","Supplemental","Service - Late Pickup","4"
"02/06/2026","Supplemental","Driver","4"
"02/06/2026","Broker","Vehicles","1"
"02/06/2026","Broker","Service - Ride Time","4"
"02/06/2026","Broker","Service - Other","1"
"02/06/2026","Broker","Service - No Shows","59"
"02/06/2026","Broker","Service - Late Pickup","22"
"02/06/2026","Broker","Driver","43"
"02/06/2026","Primary","Vehicles","1"
"02/06/2026","Primary","Service - Ride Time","4"
"02/06/2026","Primary","Service - No Shows","26"
"02/06/2026","Primary","Service - Late Pickup","18"
"02/06/2026","Primary","Driver","7"
"02/05/2026","Primary","Driver","15"
"02/05/2026","Other/Unidentified Provider","Service - Other","1"
"02/05/2026","Other/Unidentified Provider","Service - No Shows","2"
"02/05/2026","Other/Unidentified Provider","Service - Late Pickup","2"
"02/05/2026","Other/Unidentified Provider","Driver","2"
"02/05/2026","Non-Transportation","Travel Services (Same Day)","5"
"02/05/2026","Non-Transportation","Travel Planning (Res)","3"
"02/05/2026","Non-Transportation","Scheduling","2"
"02/05/2026","Non-Transportation","Policy","13"
"02/05/2026","Non-Transportation","IT/Technology","10"
"02/05/2026","Non-Transportation","Eligibility","1"
"02/05/2026","Non-Transportation","Customer","25"
"02/05/2026","Supplemental","Vehicles","1"
"02/05/2026","Supplemental","Service - Ride Time","2"
"02/05/2026","Supplemental","Service - No Shows","12"
"02/05/2026","Supplemental","Service - Late Pickup","3"
"02/05/2026","Supplemental","Driver","3"
"02/05/2026","Broker","Vehicles","1"
"02/05/2026","Broker","Service - Ride Time","17"
"02/05/2026","Broker","Service - Other","8"
"02/05/2026","Broker","Service - No Shows","81"
"02/05/2026","Broker","Service - Late Pickup","33"
"02/05/2026","Broker","Driver","48"
"02/05/2026","Primary","Vehicles","1"
"02/05/2026","Primary","Service - Ride Time","21"
"02/05/2026","Primary","Service - Other","3"
"02/05/2026","Primary","Service - No Shows","36"
"02/05/2026","Primary","Service - Late Pickup","22"
"02/04/2026","Primary","Service - Ride Time","7"
"02/04/2026","Other/Unidentified Provider","Service - Other","1"
"02/04/2026","Other/Unidentified Provider","Service - No Shows","1"
"02/04/2026","Other/Unidentified Provider","Service - Late Pickup","4"
"02/04/2026","Other/Unidentified Provider","Driver","2"
"02/04/2026","Non-Transportation","Travel Planning (Res)","5"
"02/04/2026","Non-Transportation","Scheduling","3"
"02/04/2026","Non-Transportation","Policy","18"
"02/04/2026","Non-Transportation","IT/Technology","12"
"02/04/2026","Non-Transportation","Customer Relations","1"
"02/04/2026","Non-Transportation","Customer","15"
"02/04/2026","Supplemental","Service - Ride Time","1"
"02/04/2026","Supplemental","Service - No Shows","10"
"02/04/2026","Supplemental","Driver","4"
"02/04/2026","Broker","Vehicles","4"
"02/04/2026","Broker","Service - Ride Time","13"
"02/04/2026","Broker","Service - Other","7"
"02/04/2026","Broker","Service - No Shows","71"
"02/04/2026","Broker","Service - Late Pickup","27"
"02/04/2026","Broker","Driver","34"
"02/04/2026","Primary","Service - No Shows","34"
"02/04/2026","Primary","Service - Late Pickup","7"
"02/04/2026","Primary","Driver","2"
"02/03/2026","Primary","Service - Late Pickup","14"
"02/03/2026","Other/Unidentified Provider","Service - Ride Time","2"
"02/03/2026","Other/Unidentified Provider","Service - No Shows","3"
"02/03/2026","Other/Unidentified Provider","Service - Late Pickup","3"
"02/03/2026","Other/Unidentified Provider","Driver","4"
"02/03/2026","Other/Unidentified Provider",,"1"
"02/03/2026","Non-Transportation","Travel Services (Same Day)","6"
"02/03/2026","Non-Transportation","Travel Planning (Res)","2"
"02/03/2026","Non-Transportation","Scheduling","1"
"02/03/2026","Non-Transportation","Policy","14"
"02/03/2026","Non-Transportation","IT/Technology","8"
"02/03/2026","Non-Transportation","Eligibility","1"
"02/03/2026","Non-Transportation","Customer","20"
"02/03/2026","Supplemental","Vehicles","2"
"02/03/2026","Supplemental","Service - Other","1"
"02/03/2026","Supplemental","Service - No Shows","4"
"02/03/2026","Supplemental","Service - Late Pickup","1"
"02/03/2026","Supplemental","Driver","8"
"02/03/2026","Broker","Vehicles","2"
"02/03/2026","Broker","Service - Ride Time","19"
"02/03/2026","Broker","Service - Other","4"
"02/03/2026","Broker","Service - No Shows","56"
"02/03/2026","Broker","Service - Late Pickup","13"
"02/03/2026","Broker","Driver","50"
"02/03/2026","Primary","Driver","10"
"02/03/2026","Primary","Service - Ride Time","11"
"02/03/2026","Primary","Service - No Shows","28"
"02/02/2026","Broker","Service - No Shows","66"
"02/02/2026","Other/Unidentified Provider","Service - Other","1"
"02/02/2026","Other/Unidentified Provider","Service - No Shows","3"
"02/02/2026","Other/Unidentified Provider","Driver","1"
"02/02/2026","Non-Transportation","Travel Services (Same Day)","9"
"02/02/2026","Non-Transportation","Travel Planning (Res)","7"
"02/02/2026","Non-Transportation","Scheduling","1"
"02/02/2026","Non-Transportation","Policy","12"
"02/02/2026","Non-Transportation","IT/Technology","8"
"02/02/2026","Non-Transportation","Eligibility","1"
"02/02/2026","Non-Transportation","Customer","34"
"02/02/2026","Supplemental","Service - Ride Time","5"
"02/02/2026","Supplemental","Service - Other","1"
"02/02/2026","Supplemental","Service - No Shows","8"
"02/02/2026","Supplemental","Service - Late Pickup","1"
"02/02/2026","Supplemental","Driver","9"
"02/02/2026","Broker","Vehicles","3"
"02/02/2026","Broker","Service - Ride Time","15"
"02/02/2026","Broker","Service - Other","4"
"02/02/2026","Broker","Service - Late Pickup","21"
"02/02/2026","Broker","Driver","41"
"02/02/2026","Primary","Vehicles","3"
"02/02/2026","Primary","Service - Ride Time","8"
"02/02/2026","Primary","Service - Other","1"
"02/02/2026","Primary","Service - No Shows","17"
"02/02/2026","Primary","Service - Late Pickup","5"
"02/02/2026","Primary","Driver","15"
"02/01/2026","Broker","Service - Ride Time","1"
"02/01/2026","Broker","Service - No Shows","3"
"02/01/2026","Broker","Driver","4"
"02/01/2026","Primary","Service - Ride Time","1"
"02/01/2026","Primary","Service - No Shows","2"
"02/01/2026","Non-Transportation","Travel Services (Same Day)","1"
"02/01/2026","Supplemental","Driver","1"
"01/31/2026","Broker","Service - Other","1"
"01/31/2026","Broker","Driver","4"
